あ,아,아,아
い,이,이,이
う,우,우,우
え,에,에,에
お,오,오,오
ああ,아아,아아,아아
いい,이이,이이,이이
うう,우우,우우,우우
ええ,에에,에에,에에
おう,오오,오오,오오
おお,오오,오오,오오
えい,에이,에이,에이
か,카,카,카
き,키,키,키
く,쿠,쿠,쿠
け,케,케,케
こ,코,코,코
きゃ,캬,캬,캬
きゅ,큐,큐,큐
きょ,쿄,쿄,쿄
かあ,카아,카아,카아
きい,키이,키이,키이
くう,쿠우,쿠우,쿠우
けえ,케에,케에,케에
こう,코오,코오,코오
こお,코오,코오,코오
きゃあ,캬아,캬아,캬아
きゅう,큐우,큐우,큐우
きょう,쿄오,쿄오,쿄오
きょお,쿄오,쿄오,쿄오
けい,케이,케이,케이
が,가,가,가
ぎ,기,기,기
ぐ,구,구,구
げ,게,게,게
ご,고,고,고
ぎゃ,갸,갸,갸
ぎゅ,규,규,규
ぎょ,교,교,교
があ,가아,가아,가아
ぎい,기이,기이,기이
ぐう,구우,구우,구우
げえ,게에,게에,게에
ごう,고오,고오,고오
ごお,고오,고오,고오
ぎゃあ,갸아,갸아,갸아
ぎゅう,규우,규우,규우
ぎょう,교오,교오,교오
ぎょお,교오,교오,교오
げい,게이,게이,게이
さ,사,사,사
すぃ,쉬,쉬,쉬
す,스,스,스
せ,세,세,세
そ,소,소,소
さあ,사아,사아,사아
すぃい,쉬이,쉬이,쉬이
すう,수우,수우,수우
せえ,세에,세에,세에
そう,소오,소오,소오
そお,소오,소오,소오
せい,세이,세이,세이
しゃ,샤,샤,샤
し,시,시,시
しゅ,슈,슈,슈
しぇ,셰,셰,셰
しょ,쇼,쇼,쇼
しゃあ,샤아,샤아,샤아
しい,시이,시이,시이
しゅう,슈우,슈우,슈우
しぇえ,셰에,셰에,셰에
しょう,쇼오,쇼오,쇼오
しょお,쇼오,쇼오,쇼오
しぇい,세이,세이,세이
ざ,자,자,자
ずぃ,쥐,쥐,쥐
ず,즈,즈,즈
ぜ,제,제,제
ぞ,조,조,조
ざあ,자아,자아,자아
ずぃい,쥐이,쥐이,쥐이
ずう,주우,주우,주우
ぜえ,제에,제에,제에
ぞう,조오,조오,조오
ぞお,조오,조오,조오
ぜい,제이,제이,제이
じゃ,자,자,자
じ,지,지,지
じゅ,주,주,주
じぇ,제,제,제
じょ,조,조,조
じゃあ,자아,자아,자아
じい,지이,지이,지이
じゅう,주우,주우,주우
じぇえ,제에,제에,제에
じょう,조오,조오,조오
じょお,조오,조오,조오
じぇい,제이,제이,제이
た,타,타,타
てぃ,티,티,티
とぅ,투,투,투
て,테,테,테
と,토,토,토
たあ,타아,타아,타아
てぃい,티이,티이,티이
とぅう,투우,투우,투우
てえ,테에,테에,테에
とう,토오,토오,토오
とお,토오,토오,토오
てい,테이,테이,테이
ちゃ,차,차,차
ち,치,치,치
ちゅ,추,추,추
ちぇ,체,체,체
ちょ,초,초,초
ちゃあ,차아,차아,차아
ちい,치이,치이,치이
ちゅう,추우,추우,추우
ちぇえ,체에,체에,체에
ちょう,초오,초오,초오
ちょお,초오,초오,초오
ちぇい,체이,체이,체이
つぁ,촤,촤,촤
つぃ,취,취,취
つ,츠,츠,츠
つぇ,췌,췌,췌
つぉ,춰,춰,춰
つぁあ,촤아,촤아,촤아
つぃい,취이,취이,취이
つう,츠우,츠우,츠우
つぇえ,췌에,췌에,췌에
つぉう,춰오,춰오,춰오
つぉお,춰오,춰오,춰오
つぇい,체이,체이,체이
だ,다,다,다
でぃ,디,디,디
どぅ,두,두,두
で,데,데,데
ど,도,도,도
だあ,다아,다아,다아
でぃい,디이,디이,디이
どぅう,두우,두우,두우
